title,list_label,link,salary,finish_days
(Bulk) Typography desain untuk cut file| manual tangan,Design Arts| CorelDRAW| Graphic Design| Adobe Illustrator,https://projects.co.id/public/browse_projects/view/c87a1b/bulk-typography-desain-untuk-cut-file-manual-tangan,Rp 2.500.000 - 4.000.000,30
DICARI AKUN Google Play Console Godev BEKAS,Brochure| .NET Micro Framework| Cocoa| Cold Fusion| Apache| Appcelerator Titanium| Civil and Structure Analysis| Cognito| Bridge Engineering Structure| Blue Tick Whatapp,https://projects.co.id/public/browse_projects/view/1c781b/dicari-akun-google-play-console-godev-bekas,Rp 1.000.000 - 5.000.000,7
Membuat Template Front End Web Top Up Game By TokoTopup.id,NodeJS| VueJS,https://projects.co.id/public/browse_projects/view/097c1b/membuat-template-front-end-web-top-up-game-by-tokotopupid,Rp 4.000.000 - 7.000.000,30
Buat Plugin/Module sederhana untuk WHMCS automation,Linux| Database Programming| MySQL| Linux Programming| PHP| CPanel| WHM| Linux Administration| WHMCS,https://projects.co.id/public/browse_projects/view/eb7b1b/buat-pluginmodule-sederhana-untuk-whmcs-automation,Rp 1.500.000 - 1.800.000,7
PHP Script Untuk Cek IP BLacklist,Linux| MySQL| Linux Programming| PHP| Website Templates| Laravel Framework| Linux Administration| Apache,https://projects.co.id/public/browse_projects/view/e87b1b/php-script-untuk-cek-ip-blacklist,Rp 1.500.000 - 2.000.000,7
Scrape & Upload Produk Shopee & Tokopedia Niche ATK (Alat Tulis Kantor),Web Scrapping,https://projects.co.id/public/browse_projects/view/917b1b/scrape-amp-upload-produk-shopee-amp-tokopedia-niche-atk-alat-tulis-kantor,Rp 150.000 - 175.000,7
CODEIGNITER 3.1.13 Buat CRUD MVC dan API dalam 1 engine CI,CodeIgniter,https://projects.co.id/public/browse_projects/view/cd7b1b/codeigniter-3113-buat-crud-mvc-dan-api-dalam-1-engine-ci,Rp 1.500.000 - 2.000.000,7
Butuh pembutan Webstie Top Up dengan Laravel / CodeIgniter (Khusus yang benar2 BISA!),MySQL| Web Programming| JavaScript| PHP| CodeIgniter| Laravel Framework| ReactJS| API Gateway| Github,https://projects.co.id/public/browse_projects/view/91751b/butuh-pembutan-webstie-top-up-dengan-laravel-codeigniter-khusus-yang-benar2-bisa,Rp 25.000.000 - 35.000.000,45
Artikel SEO Friendly Untuk Blog,Writing| Blog| Blogspot| Copywriter| Content Writer,https://projects.co.id/public/browse_projects/view/1e761b/artikel-seo-friendly-untuk-blog,Rp 125.000 - 150.000,7
KOL Marketing,Internet Marketing| Social Media Marketing (SMM)| Sales and Marketing| Market Research| Marketing Strategy| Telemarketing| Instagram| Youtube,https://projects.co.id/public/browse_projects/view/437b1b/kol-marketing,Rp 1.250.000 - 2.500.000,14
Dicari senior programmer untuk project Metaverse,3D Architecture| 3D Modelling| Game Programming| C#| Unity 3D| 3D Rendering| Github| Unity| Artificial Intelligence,https://projects.co.id/public/browse_projects/view/6a7b1b/dicari-senior-programmer-untuk-project-metaverse,Rp 10.000.000 - 25.000.000,14
Membuat Website Pohon angpao - Angpao berhadiah dengan estimasi waktu 7- 10 hari (lebih cepat lebih baik),Game Programming| .NET Framework| Website| HTML| Laravel Framework,https://projects.co.id/public/browse_projects/view/617b1b/membuat-website-pohon-angpao-angpao-berhadiah-dengan-estimasi-waktu-7-10-hari-lebih-cepat-lebih-baik,Rp 2.000.000 - 4.000.000,7
App Inventor| bantu perbaiki Aplikasi yang tidak bisa jalan di beberapa Android,App Inventor,https://projects.co.id/public/browse_projects/view/377b1b/app-inventor-bantu-perbaiki-aplikasi-yang-tidak-bisa-jalan-di-beberapa-android,Rp 250.000 - 260.000,7
Pembuatan Toko di Tiktok dan Tokopedia,Advertising| E-Commerce| Content Writer,https://projects.co.id/public/browse_projects/view/527b1b/pembuatan-toko-di-tiktok-dan-tokopedia,Rp 200.000 - 300.000,3
